Cost Center Code	Legacy Code	School	Address	City	State	Zip Code	Telephone	Fax	Grades	Calendar	Local District	Board District	File Build Date
1204102	2400	Alexandria Avenue Elementary DL Two-Way Im Spanish	4211 Oakwood Av	Los Angeles	CA	90004	323-660-1936	323-666-3977	K- 1	1 Trk	C	2-Monica Garcia	2020-05-14
1204101	2041	Alexandria Avenue Elementary	4211 Oakwood Ave	Los Angeles	CA	90004	323-660-1936	323-666-3977	K- 5	1 Trk	C	2-Monica Garcia	2020-05-14
1206801	2068	Allesandro Elementary	2210 Riverside Dr	Los Angeles	CA	90039	323-666-7162	323-669-8096	K- 5	1 Trk	C	5-Jackie Goldberg	2020-05-14
1206802	2069	Allesandro Elementary Cooperative Learning Magnet	2210 Riverside Dr	Los Angeles	CA	90039	323-666-7162	323-669-8096	1- 6	1 Trk	C	5-Jackie Goldberg	2020-05-14
1762301	7623	Alliance Alice M Baxter College Ready High School	461 W 9th St	San Pedro	CA	90731	310-221-0430	310-221-0518	9-12	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1768601	7686	Alliance Bloomfield Tech High School	7907 Santa Fe Ave	Huntington Park	CA	90255	323-537-2060	323-537-2044	9-12	Other	XR	5-Jackie Goldberg	2020-05-14
1864601	8646	Alliance Judy Ivie Burton Technology Academy High School	10101 S Broadway	Los Angeles	CA	90003	323-920-6125	323-920-6950	9-12	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1864701	8647	Alliance Collins Family College Ready High School	2071 Saturn Ave	Huntington Park	CA	90255	323-923-1588	323-923-1589	9-12	Other	XR	5-Jackie Goldberg	2020-05-14
1520201	5202	Alliance College Ready Academy #12	131 E 50th St	Los Angeles	CA	90011	323-238-7270	323-238-7612	6- 6	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1520001	5200	Alliance College Ready Academy #8	113 S Rowan Ave	Los Angeles	CA	90063	323-269-2156	323-269-2462	6- 8	Other	XR	2-Monica Garcia	2020-05-14
1516001	5160	Alliance College Ready Middle Academy #4	9719 S Main St	Los Angeles	CA	90003	323-451-3009	323-455-1655	6- 8	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1516101	5161	Alliance College Ready Middle Academy #5	211 S Avenue 20	Los Angeles	CA	90031	323-352-8034	323-352-8980	6- 8	Other	XR	2-Monica Garcia	2020-05-14
1862601	8626	Alliance Gertz-Ressler Richard Merkin Acad 6-12 Complex	2023 Union Av	Los Angeles	CA	90007	213-745-8141	213-745-8142	6-12	Other	XR	2-Monica Garcia	2020-05-14
1519901	5199	Alliance Kory Hunter Middle School	5886 Compton Ave	Los Angeles	CA	90001	323-484-0450	323-487-5092	6- 8	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1821501	8215	Alliance Leichtman-Levine FFES High	2930 Fletcher Dr	Los Angeles	CA	90065	323-739-0560	323-739-0565	9-12	Other	XR	5-Jackie Goldberg	2020-05-14
1769401	7694	Alliance Renee & Meyer Luskin Academy High School	2941 W 70th St	Los Angeles	CA	90043	323-905-1210	323-905-1215	9-12	Other	XR	1-Dr George J McKenna III	2020-05-14
1821401	8214	Alliance Morgan McKinzie High	110 S Townsend Ave	Los Angeles	CA	90063	323-526-8198	323-526-8438	9-12	Other	XR	2-Monica Garcia	2020-05-14
1759101	7591	Alliance Marine Tech 6-12 Complex	11933 Allegheny St	Sun Valley	CA	91352	747-223-2649	747-223-2773	6-12	OTHER	XR	6-Kelly Gonez	2020-05-14
1882301	8823	Alliance Dr Olga Mohan High School	644 W 17th St	Los Angeles	CA	90015	213-342-2870	213-342-2871	9-12	Other	XR	2-Monica Garcia	2020-05-14
1882401	8824	Alliance P & P Neuwirth College Ready High School	4610 S Main St	Los Angeles	CA	90037	213-342-2874	213-342-2875	9-12	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1882501	8825	Alliance Ouchi-O'Donovan 6-12 Complex	5356 S 5th Ave	Los Angeles	CA	90043	323-596-2290	323-596-2295	6-12	Other	XR	1-Dr George J McKenna III	2020-05-14
1821301	8213	Alliance Piera Barbaglia Shaheen Health	8515 Kansas Ave	Los Angeles	CA	90044	323-972-9010	323-305-3505	9-12	Other	XR	1-Dr George J McKenna III	2020-05-14
1775901	7759	Alliance Cindy & Bill Simon Technology Academy	10720 S Wilmington Ave	Los Angeles	CA	90059	323-744-2122	323-744-2123	9-12	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1811501	8115	Alliance Jack H Skirball Middle School	603 E 115th St	Los Angeles	CA	90059	323-905-1377	323-905-1378	6- 8	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1768401	7684	Alliance Susan & Eric Smidt Technology High School	211 S Avenue 20	Los Angeles	CA	90031	323-352-3206	323-352-8543	9-10	Other	XR	2-Monica Garcia	2020-05-14
1882601	8826	Alliance Marc & Eva Stern Math & Science School	5151 State University Dr Lot2	Los Angeles	CA	90032	323-987-2144	323-987-2149	9-12	Other	XR	5-Jackie Goldberg	2020-05-14
1768501	7685	Alliance Ted K Tajima High	1552 W Rockwood St	Los Angeles	CA	90026	213-241-8533	213-241-8540	9-11	Other	XR	2-Monica Garcia	2020-05-14
1776001	7760	Alliance Tennenbaum Family Technology High School	2050 N San Fernando Rd	Los Angeles	CA	90065	323-276-5545	323-276-5554	9-12	Other	XR	5-Jackie Goldberg	2020-05-14
1520101	5201	Alliance Virgil Roberts Leadership Academy	2941 W 70th St	Los Angeles	CA	90043	323-920-4388	323-920-6310	6- 6	Other	XR	1-Dr George J McKenna III	2020-05-14
1739802	2440	Alta California Elementary Gifted/STEAM Magnet	14859 Rayen St	Panorama City	CA	91402	818-830-4400	818-891-3414	2- 5	1 Trk	NW	6-Kelly Gonez	2020-05-14
1739801	7398	Alta California Elementary	14859 Rayen St	Panorama City	CA	91402	818-830-4400	818-891-3414	K- 5	1 Trk	NW	6-Kelly Gonez	2020-05-14
1208201	2082	Alta Loma Elementary	1745 Vineyard Ave	Los Angeles	CA	90019	323-939-2113	323-965-9233	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1208202	2289	Alta Loma Elementary DL Two-Way Im Spanish	1745 Vineyard Ave	Los Angeles	CA	90019	323-939-2113	323-965-9233	K- 2	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1642601	6426	Amanecer Primary Center	832 S Eastman Ave	Los Angeles	CA	90023	323-264-6494	323-264-6505	K- 2	1 Trk	E	2-Monica Garcia	2020-05-14
1208902	2091	Ambler Avenue Elementary Gifted Magnet	319 E Sherman Dr	Carson	CA	90746	310-532-4090	310-329-9315	1- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1208901	2089	Ambler Avenue Elementary	319 E Sherman Dr	Carson	CA	90746	310-532-4090	310-329-9315	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1208903	2295	Ambler Avenue Elementary DL Two-Way Im Spanish	319 E Sherman Dr	Carson	CA	90746	310-532-4090	310-329-9315	K- 2	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1209601	2096	Amestoy Elementary	1048 W 149th St	Gardena	CA	90247	310-327-5592	310-719-8710	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1209602	2097	Amestoy Elementary Multilingual/Multicultural Magnet	1048 W 149th St	Gardena	CA	90247	310-327-3716	310-719-8710	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1527701	5277	Anahuacalmecac Int Unv Prep of North America	4736 Huntington Dr S	Los Angeles	CA	90032	323-352-3148	323-352-8407	K-12	Other	XR	2-Monica Garcia	2020-05-14
1211001	2110	Anatola Avenue Elementary	7364 Anatola Ave	Lake Balboa	CA	91406	818-343-8733	818-344-1550	K- 5	1 Trk	NW	6-Kelly Gonez	2020-05-14
1211701	2117	Andasol Avenue Elementary	10126 Encino Ave	Northridge	CA	91325	818-349-8631	818-886-7156	K- 5	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1885201	8852	Angel's Gate Continuation High	3607 S Gaffey St	San Pedro	CA	90731	310-221-4600	310-221-4629	9-12	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1212301	2123	Angeles Mesa Elementary	2611 W 52nd St	Los Angeles	CA	90043	323-294-5103	323-294-0930	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1212302	2322	Angeles Mesa El DREAMS Magnet	2611 W 52nd St	Los Angeles	CA	90043	323-294-5103	323-294-0930	1- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1772201	7722	Dr Maya Angelou Community Senior High	300 E 53rd St	Los Angeles	CA	90011	323-846-4600	323-846-4694	9-12	1 Trk	C	7-Dr Richard A Vladovic	2020-05-14
1881701	8817	Animo Ralph Bunche Charter High	1655 E 27th St	Los Angeles	CA	90011	323-232-9436	323-565-1610	9-12	Other	XR	5-Jackie Goldberg	2020-05-14
1769301	7693	Animo College Preparatory Academy	2265 E 103rd St	Los Angeles	CA	90002	323-568-4136	323-565-1610	9-12	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1758201	7582	Animo Florence-Firestone Charter Middle	155 W 69th St	Los Angeles	CA	90003	323-565-3280	323-565-1610	6- 7	OTHER	XR	7-Dr Richard A Vladovic	2020-05-14
1881801	8818	Animo Jackie Robinson	3500 S Hill St	Los Angeles	CA	90007	323-565-1600	323-565-1610	9-12	Other	XR	2-Monica Garcia	2020-05-14
1598101	5981	Animo Jefferson Charter Middle School	1655 E 27th St	Los Angeles	CA	90011	323-846-5800	323-565-1610	6- 8	Other	XR	5-Jackie Goldberg	2020-05-14
1521701	5217	Animo Mae Jemison Charter Middle School	12700 Avalon Blvd	Los Angeles	CA	90061	323-565-4450	323-565-1610	6- 8	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1518101	5181	Animo Legacy Charter Middle School	12226 S Western Ave	Los Angeles	CA	90047	323-600-6000	323-565-1610	6- 8	Other	XR	1-Dr George J McKenna III	2020-05-14
1518201	5182	Animo Ellen Ochoa Middle School	4360 Dozier St	Los Angeles	CA	90022	323-565-3245	323-565-1610	6- 8	Other	XR	2-Monica Garcia	2020-05-14
1850401	8504	Animo Pat Brown	8255 Beach St	Los Angeles	CA	90001	323-565-1600	323-565-1610	9-12	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1850501	8505	Animo South Los Angeles Charter High School	11130 Western Ave	Los Angeles	CA	90047	323-779-0544	323-565-1610	9-12	Other	XR	1-Dr George J McKenna III	2020-05-14
1518301	5183	Animo James B Taylor Charter Middle School	810 E 111th Pl	Los Angeles	CA	90059	323-568-8613	323-565-1610	6- 6	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1850301	8503	Animo Venice Charter High School	820 Broadway St	Venice	CA	90291	310-392-8751	323-565-1610	9-12	Other	XR	4-Nick Melvoin	2020-05-14
1882201	8822	Animo Watts College Preparatory Academy	12628 Avalon Blvd	Los Angeles	CA	90061	323-756-1600	323-565-1610	9-12	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1598001	5980	Animo Westside Charter Middle School	5456 Mcconnell Ave	Los Angeles	CA	90066	323-565-3251	323-565-1610	6- 8	Other	XR	4-Nick Melvoin	2020-05-14
1213701	2137	Ann Street Elementary	126 E Bloom St	Los Angeles	CA	90012	323-221-3194	323-225-6079	K- 5	1 Trk	E	2-Monica Garcia	2020-05-14
1214601	2146	Annalee Avenue Elementary	19410 S Annalee Ave	Carson	CA	90746	310-537-4740	310-764-4729	K- 6	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1214602	2328	Annalee Avenue Elementary STEAM Magnet	19410 S Annalee Ave	Carson	CA	90746	310-537-4740	310-764-4729	2- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1215101	2151	Annandale Elementary	6125 Poppy Peak Dr	Los Angeles	CA	90042	323-254-9168	323-254-3023	K- 5	1 Trk	C	5-Jackie Goldberg	2020-05-14
1882801	8828	Wallis Annenberg High School	4000 S Main St	Los Angeles	CA	90037	323-235-6343	323-235-6346	9-12	Other	XR	7-Dr Richard A Vladovic	2020-05-14
1435601	4356	William R Anton Elementary	831 N Bonnie Beach Pl	Los Angeles	CA	90063	323-981-3640	323-415-9010	K- 6	1 Trk	E	2-Monica Garcia	2020-05-14
1435602	4814	William R Anton Elementary DL Two-Way Im Spanish	831 N Bonnie Beach Pl	Los Angeles	CA	90019	323-981-3640	323-415-9010	K- K	1 Trk	E	2-Monica Garcia	2020-05-14
1869001	8690	APEX Academy	1309 N Wilton Pl 3rd Fl	Los Angeles	CA	90028	323-817-6550	323-817-6555	7-12	1 Trk	XR	4-Nick Melvoin	2020-05-14
1216401	2164	Apperson Street Elementary	10233 Woodward Ave	Sunland	CA	91040	818-353-5544	818-951-6682	K- 5	1 Trk	NE	6-Kelly Gonez	2020-05-14
1217801	2178	Aragon Avenue Elementary	1118 Aragon Ave	Los Angeles	CA	90065	323-221-5173	323-221-6708	K- 5	1 Trk	C	5-Jackie Goldberg	2020-05-14
1775701	7757	Ararat Charter School	6555 Sylmar Ave	Van Nuys	CA	91401	818-994-2904	818-994-8096	K- 5	Other	XR	6-Kelly Gonez	2020-05-14
1860901	8609	Arleta Senior High	14200 Van Nuys Blvd	Arleta	CA	91331	818-686-4100	818-890-1040	9-12	1 Trk	NE	6-Kelly Gonez	2020-05-14
1219202	4815	Arlington Heights Elementary DL Two-Way Im Spanish	1717 7th Av	Los Angeles	CA	90019	323-735-1021	323-732-6061	K- K	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1219201	2192	Arlington Heights Elementary	1717 7th Ave	Los Angeles	CA	90019	323-735-1021	323-732-6061	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1220501	2205	Arminta Street Elementary	11530 Strathern St	North Hollywood	CA	91605	818-765-5911	818-764-9648	K- 5	1 Trk	NE	6-Kelly Gonez	2020-05-14
1432201	4322	Arroyo Seco Museum Science Magnet	4805 Sycamore Terr	Los Angeles	CA	90042	323-254-5141	323-344-0235	K- 8	1 Trk	C	2-Monica Garcia	2020-05-14
1225801	2258	Arts in Action Community Charter	5115 Via Corona St	Los Angeles	CA	90022	323-266-4371	323-266-4371	K- 5	Other	XR	2-Monica Garcia	2020-05-14
1758301	7583	Arts in Action Community Middle	1241 S Soto St	Los Angeles	CA	90023	323-266-4371	323-266-4371	6- 8	OTHER	XR	2-Monica Garcia	2020-05-14
1221901	2219	Ascot Avenue Elementary	1447 E 45th St	Los Angeles	CA	90011	323-235-3178	323-231-1486	K- 5	1 Trk	C	5-Jackie Goldberg	2020-05-14
1519401	5194	Aspire Centennial College Preparatory Academy	2079 Saturn Ave	Huntington Park	CA	90255	323-826-9616	323-588-7342	6- 7	Other	XR	5-Jackie Goldberg	2020-05-14
1216101	2161	Aspire Firestone Academy	8929 Kauffman Ave	South Gate	CA	90280	323-249-5740	323-568-2071	K- 5	Other	XR	5-Jackie Goldberg	2020-05-14
